icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
780752,1669341950,ZGSZ,1669342988,,HLF9801 ,5056,598,,,0,0
a44cca,1669343894,KATL,1669345551,,DAL2877 ,2114,37,,,0,0
a3f7da,1669343720,KSMO,1669344487,KLGB,N355EX  ,351,8,735,41,2,7
aa2673,1669346048,KMKC,1669347022,MU71,N753P   ,5219,111,3223,207,0,21
ad6113,1669342050,KLAX,1669344499,KLAS,NKS648  ,608,83,1280,161,2,3
acadfa,1669347285,3PA0,1669348069,73PA,N916LL  ,6757,320,6486,219,5,14
c8209f,1669343492,NZRI,1669344302,NZAS,ZKHQH   ,14292,338,14946,304,0,1
152075,1669344990,,1669348147,USSK,SVR2958 ,,,25949,1267,0,1
347303,1669343965,LFMT,1669345616,,SWN5781 ,6906,863,,,1,0
4bb323,1669343581,,1669345557,LTBA,THY6EL  ,,,8198,1192,0,2
868428,1669342608,RJCJ,1669345739,RJSS,ANA1224 ,1865,491,1569,42,1,1
884345,1669343133,,1669344411,VTBS,BKP212  ,,,9225,402,0,1
885313,1669345526,VTBS,1669346465,,THD301  ,2160,402,,,0,0
8965ff,1669341850,,1669342779,OMSJ,ABY482  ,,,503,33,0,1
7c2e45,1669342314,YBBN,1669343967,,UTY2834 ,1545,18,,,0,0
7c44c7,1669342872,YMPC,1669343875,YMEN,NVD     ,766,65,1477,40,0,2
7c79d6,1669341940,YPJT,1669344050,YPJT,HARR82  ,1214,61,1988,84,0,2
7c6d28,1669344907,YSCB,1669348272,YMML,VOZ268  ,1031,3,1611,78,0,4
a34ff5,1669343968,KTOA,1669345823,KL26,N312TN  ,804,31,2242,1146,3,7
a42bd4,1669345623,EDDK,1669348399,LFPG,UPS218  ,464,60,4595,10,1,8
aaa3ef,1669342950,,1669344637,KPHX,N785JP  ,,,822,86,0,10
ac34a1,1669342887,KMAE,1669345225,KOAK,N886FE  ,6405,1911,960,86,2,4
c027de,1669343306,,1669346004,,CFPCN   ,,,,,0,0
0d0a3a,1669346814,,1669347613,MMMX,SLI2585 ,,,736,111,0,1
4844c2,1669347399,,1669348004,EHRD,LIFELN2 ,,,5704,73,0,1
4844c2,1669344712,EHRD,1669345614,EHSE,LIFELN2 ,643,50,16608,59,0,2
3a46ad,1669342275,NTAA,1669342917,,VT415   ,2112,227,,,0,0
3e0fe0,1669346146,,1669347808,EDBJ,CHX81   ,,,6042,54,0,2
3e0fe0,1669342257,EDOB,1669344230,EDAG,CHX81   ,2065,205,11073,130,2,1
